STATE_FIPS,STATE_AB,city,fips
36.0,NY,Holtsville,36103.0
36.0,NY,Fishers Island,36103.0
36.0,NY,New York,36061.0
36.0,NY,Staten Island,36085.0
36.0,NY,Bronx,36005.0
36.0,NY,Amawalk,36119.0
36.0,NY,Ardsley,36119.0
36.0,NY,Ardsley On Hudson,36119.0
36.0,NY,Armonk,36119.0
36.0,NY,Baldwin Place,36119.0
36.0,NY,Bedford,36119.0
36.0,NY,Bedford Hills,36119.0
36.0,NY,Brewster,36079.0
36.0,NY,Briarcliff Manor,36119.0
36.0,NY,Buchanan,36119.0
36.0,NY,Carmel,36079.0
36.0,NY,Chappaqua,36119.0
36.0,NY,Cold Spring,36079.0
36.0,NY,Crompond,36119.0
36.0,NY,Cross River,36119.0
36.0,NY,Croton Falls,36119.0
36.0,NY,Croton On Hudson,36119.0
36.0,NY,Dobbs Ferry,36119.0
36.0,NY,Elmsford,36119.0
36.0,NY,Garrison,36079.0
36.0,NY,Goldens Bridge,36119.0
36.0,NY,Granite Springs,36119.0
36.0,NY,Harrison,36119.0
36.0,NY,Hartsdale,36119.0
36.0,NY,Hawthorne,36119.0
36.0,NY,Irvington,36119.0
36.0,NY,Jefferson Valley,36119.0
36.0,NY,Katonah,36119.0
36.0,NY,Lake Peekskill,36079.0
36.0,NY,Larchmont,36119.0
36.0,NY,Lincolndale,36119.0
36.0,NY,Mahopac,36079.0
36.0,NY,Mahopac Falls,36079.0
36.0,NY,Mamaroneck,36119.0
36.0,NY,Maryknoll,36119.0
36.0,NY,Millwood,36119.0
36.0,NY,Mohegan Lake,36119.0
36.0,NY,Montrose,36119.0
36.0,NY,Mount Kisco,36119.0
36.0,NY,Mount Vernon,36119.0
36.0,NY,North Salem,36119.0
36.0,NY,Ossining,36119.0
36.0,NY,Peekskill,36119.0
36.0,NY,Cortlandt Manor,36119.0
36.0,NY,Pleasantville,36119.0
36.0,NY,Port Chester,36119.0
36.0,NY,Pound Ridge,36119.0
36.0,NY,Purchase,36119.0
36.0,NY,Purdys,36119.0
36.0,NY,Putnam Valley,36079.0
36.0,NY,Rye,36119.0
36.0,NY,Scarsdale,36119.0
36.0,NY,Shenorock,36119.0
36.0,NY,Shrub Oak,36119.0
36.0,NY,Somers,36119.0
36.0,NY,South Salem,36119.0
36.0,NY,Tarrytown,36119.0
36.0,NY,Thornwood,36119.0
36.0,NY,Valhalla,36119.0
36.0,NY,Verplanck,36119.0
36.0,NY,Waccabuc,36119.0
36.0,NY,Yorktown Heights,36119.0
36.0,NY,White Plains,36119.0
36.0,NY,West Harrison,36119.0
36.0,NY,Yonkers,36119.0
36.0,NY,Hastings On Hudson,36119.0
36.0,NY,Tuckahoe,36119.0
36.0,NY,Bronxville,36119.0
36.0,NY,Eastchester,36119.0
36.0,NY,New Rochelle,36119.0
36.0,NY,Pelham,36119.0
36.0,NY,Suffern,36087.0
36.0,NY,Arden,36071.0
36.0,NY,Bear Mountain,36087.0
36.0,NY,Bellvale,36071.0
36.0,NY,Blauvelt,36087.0
36.0,NY,Blooming Grove,36071.0
36.0,NY,Bullville,36071.0
36.0,NY,Campbell Hall,36071.0
36.0,NY,Central Valley,36071.0
36.0,NY,Chester,36071.0
36.0,NY,Circleville,36071.0
36.0,NY,Congers,36087.0
36.0,NY,Florida,36071.0
36.0,NY,Fort Montgomery,36071.0
36.0,NY,Garnerville,36087.0
36.0,NY,Goshen,36071.0
36.0,NY,Greenwood Lake,36071.0
36.0,NY,Harriman,36071.0
36.0,NY,Haverstraw,36087.0
36.0,NY,Highland Falls,36071.0
36.0,NY,Highland Mills,36071.0
36.0,NY,Hillburn,36087.0
36.0,NY,Howells,36071.0
36.0,NY,Johnson,36071.0
36.0,NY,Middletown,36071.0
36.0,NY,Monroe,36071.0
36.0,NY,Monsey,36087.0
36.0,NY,Mountainville,36071.0
36.0,NY,Nanuet,36087.0
36.0,NY,New City,36087.0
36.0,NY,New Hampton,36071.0
36.0,NY,New Milford,36071.0
36.0,NY,Nyack,36087.0
36.0,NY,Orangeburg,36087.0
36.0,NY,Otisville,36071.0
36.0,NY,Palisades,36087.0
36.0,NY,Pearl River,36087.0
36.0,NY,Piermont,36087.0
36.0,NY,Pine Island,36071.0
36.0,NY,Pomona,36087.0
36.0,NY,Slate Hill,36071.0
36.0,NY,Sloatsburg,36087.0
36.0,NY,Southfields,36071.0
36.0,NY,Sparkill,36087.0
36.0,NY,Spring Valley,36087.0
36.0,NY,Sterling Forest,36071.0
36.0,NY,Stony Point,36087.0
36.0,NY,Sugar Loaf,36071.0
36.0,NY,Tallman,36087.0
36.0,NY,Tappan,36087.0
36.0,NY,Thiells,36087.0
36.0,NY,Thompson Ridge,36071.0
36.0,NY,Tomkins Cove,36087.0
36.0,NY,Tuxedo Park,36071.0
36.0,NY,Unionville,36071.0
36.0,NY,Valley Cottage,36087.0
36.0,NY,Warwick,36071.0
36.0,NY,Washingtonville,36071.0
36.0,NY,West Haverstraw,36087.0
36.0,NY,West Nyack,36087.0
36.0,NY,West Point,36071.0
36.0,NY,Westtown,36071.0
36.0,NY,Floral Park,36059.0
36.0,NY,Elmont,36059.0
36.0,NY,Glen Oaks,36081.0
36.0,NY,Floral Park,36081.0
36.0,NY,Franklin Square,36059.0
36.0,NY,Great Neck,36059.0
36.0,NY,Manhasset,36059.0
36.0,NY,New Hyde Park,36059.0
36.0,NY,Port Washington,36059.0
36.0,NY,Inwood,36059.0
36.0,NY,Long Island City,36081.0
36.0,NY,Astoria,36081.0
36.0,NY,Sunnyside,36081.0
36.0,NY,Brooklyn,36047.0
36.0,NY,Flushing,36081.0
36.0,NY,College Point,36081.0
36.0,NY,Whitestone,36081.0
36.0,NY,Bayside,36081.0
36.0,NY,Little Neck,36081.0
36.0,NY,Oakland Gardens,36081.0
36.0,NY,Fresh Meadows,36081.0
36.0,NY,Corona,36081.0
36.0,NY,East Elmhurst,36081.0
36.0,NY,Jackson Heights,36081.0
36.0,NY,Elmhurst,36081.0
36.0,NY,Rego Park,36081.0
36.0,NY,Forest Hills,36081.0
36.0,NY,Woodside,36081.0
36.0,NY,Maspeth,36081.0
36.0,NY,Middle Village,36081.0
36.0,NY,Ridgewood,36081.0
36.0,NY,Jamaica,36081.0
36.0,NY,Cambria Heights,36081.0
36.0,NY,Saint Albans,36081.0
36.0,NY,Springfield Gardens,36081.0
36.0,NY,Howard Beach,36081.0
36.0,NY,Kew Gardens,36081.0
36.0,NY,Ozone Park,36081.0
36.0,NY,Richmond Hill,36081.0
36.0,NY,South Richmond Hill,36081.0
36.0,NY,South Ozone Park,36081.0
36.0,NY,Woodhaven,36081.0
36.0,NY,Rosedale,36081.0
36.0,NY,Hollis,36081.0
36.0,NY,Bellerose,36081.0
36.0,NY,Queens Village,36081.0
36.0,NY,Mineola,36059.0
36.0,NY,Albertson,36059.0
36.0,NY,Atlantic Beach,36059.0
36.0,NY,Baldwin,36059.0
36.0,NY,Carle Place,36059.0
36.0,NY,Cedarhurst,36059.0
36.0,NY,East Rockaway,36059.0
36.0,NY,Freeport,36059.0
36.0,NY,Garden City,36059.0
36.0,NY,Glen Cove,36059.0
36.0,NY,Glen Head,36059.0
36.0,NY,Glenwood Landing,36059.0
36.0,NY,Greenvale,36059.0
36.0,NY,Hempstead,36059.0
36.0,NY,West Hempstead,36059.0
36.0,NY,Uniondale,36059.0
36.0,NY,East Meadow,36059.0
36.0,NY,Hewlett,36059.0
36.0,NY,Island Park,36059.0
36.0,NY,Lawrence,36059.0
36.0,NY,Locust Valley,36059.0
36.0,NY,Long Beach,36059.0
36.0,NY,Lynbrook,36059.0
36.0,NY,Malverne,36059.0
36.0,NY,Merrick,36059.0
36.0,NY,Old Westbury,36059.0
36.0,NY,Point Lookout,36059.0
36.0,NY,Rockville Centre,36059.0
36.0,NY,Oceanside,36059.0
36.0,NY,Roosevelt,36059.0
36.0,NY,Roslyn,36059.0
36.0,NY,Roslyn Heights,36059.0
36.0,NY,Sea Cliff,36059.0
36.0,NY,Valley Stream,36059.0
36.0,NY,Westbury,36059.0
36.0,NY,Williston Park,36059.0
36.0,NY,Woodmere,36059.0
36.0,NY,Far Rockaway,36081.0
36.0,NY,Arverne,36081.0
36.0,NY,Rockaway Park,36081.0
36.0,NY,Breezy Point,36081.0
36.0,NY,Amityville,36103.0
36.0,NY,Babylon,36103.0
36.0,NY,North Babylon,36103.0
36.0,NY,West Babylon,36103.0
36.0,NY,Bayport,36103.0
36.0,NY,Bay Shore,36103.0
36.0,NY,Bayville,36059.0
36.0,NY,Bellmore,36059.0
36.0,NY,Bellport,36103.0
36.0,NY,Bethpage,36059.0
36.0,NY,Blue Point,36103.0
36.0,NY,Bohemia,36103.0
36.0,NY,Brentwood,36103.0
36.0,NY,Brightwaters,36103.0
36.0,NY,Brookhaven,36103.0
36.0,NY,Centereach,36103.0
36.0,NY,Centerport,36103.0
36.0,NY,Central Islip,36103.0
36.0,NY,Cold Spring Harbor,36103.0
36.0,NY,Commack,36103.0
36.0,NY,Copiague,36103.0
36.0,NY,Coram,36103.0
36.0,NY,Deer Park,36103.0
36.0,NY,East Islip,36103.0
36.0,NY,East Northport,36103.0
36.0,NY,East Norwich,36059.0
36.0,NY,East Setauket,36103.0
36.0,NY,Farmingdale,36059.0
36.0,NY,Farmingville,36103.0
36.0,NY,Great River,36103.0
36.0,NY,Greenlawn,36103.0
36.0,NY,Holbrook,36103.0
36.0,NY,Huntington,36103.0
36.0,NY,Smithtown,36103.0
36.0,NY,Huntington Station,36103.0
36.0,NY,Melville,36103.0
36.0,NY,Islandia,36103.0
36.0,NY,Islip,36103.0
36.0,NY,Islip Terrace,36103.0
36.0,NY,Jericho,36059.0
36.0,NY,Kings Park,36103.0
36.0,NY,Lake Grove,36103.0
36.0,NY,Levittown,36059.0
36.0,NY,Lindenhurst,36103.0
36.0,NY,Massapequa,36059.0
36.0,NY,Massapequa Park,36059.0
36.0,NY,Medford,36103.0
36.0,NY,Miller Place,36103.0
36.0,NY,Mill Neck,36059.0
36.0,NY,Mount Sinai,36103.0
36.0,NY,Nesconset,36103.0
36.0,NY,Northport,36103.0
36.0,NY,Oakdale,36103.0
36.0,NY,Ocean Beach,36103.0
36.0,NY,Oyster Bay,36059.0
36.0,NY,Patchogue,36103.0
36.0,NY,Syosset,36059.0
36.0,NY,Port Jefferson Station,36103.0
36.0,NY,Port Jefferson,36103.0
36.0,NY,Rocky Point,36103.0
36.0,NY,Ronkonkoma,36103.0
36.0,NY,Saint James,36103.0
36.0,NY,Sayville,36103.0
36.0,NY,Seaford,36059.0
36.0,NY,Selden,36103.0
36.0,NY,Shoreham,36103.0
36.0,NY,Hauppauge,36103.0
36.0,NY,Sound Beach,36103.0
36.0,NY,Stony Brook,36103.0
36.0,NY,Wading River,36103.0
36.0,NY,Wantagh,36059.0
36.0,NY,West Islip,36103.0
36.0,NY,West Sayville,36103.0
36.0,NY,Woodbury,36059.0
36.0,NY,Wyandanch,36103.0
36.0,NY,Hicksville,36059.0
36.0,NY,Plainview,36059.0
36.0,NY,Old Bethpage,36059.0
36.0,NY,Mid Island,36103.0
36.0,NY,Riverhead,36103.0
36.0,NY,Amagansett,36103.0
36.0,NY,Aquebogue,36103.0
36.0,NY,Bridgehampton,36103.0
36.0,NY,Calverton,36103.0
36.0,NY,Center Moriches,36103.0
36.0,NY,Cutchogue,36103.0
36.0,NY,East Hampton,36103.0
36.0,NY,East Marion,36103.0
36.0,NY,East Moriches,36103.0
36.0,NY,Eastport,36103.0
36.0,NY,East Quogue,36103.0
36.0,NY,Greenport,36103.0
36.0,NY,Hampton Bays,36103.0
36.0,NY,Jamesport,36103.0
36.0,NY,Laurel,36103.0
36.0,NY,Manorville,36103.0
36.0,NY,Mastic,36103.0
36.0,NY,Mastic Beach,36103.0
36.0,NY,Mattituck,36103.0
36.0,NY,Middle Island,36103.0
36.0,NY,Montauk,36103.0
36.0,NY,Moriches,36103.0
36.0,NY,New Suffolk,36103.0
36.0,NY,Orient,36103.0
36.0,NY,Peconic,36103.0
36.0,NY,Quogue,36103.0
36.0,NY,Remsenburg,36103.0
36.0,NY,Ridge,36103.0
36.0,NY,Sagaponack,36103.0
36.0,NY,Sag Harbor,36103.0
36.0,NY,Shelter Island,36103.0
36.0,NY,Shelter Island Heights,36103.0
36.0,NY,Shirley,36103.0
36.0,NY,Southampton,36103.0
36.0,NY,South Jamesport,36103.0
36.0,NY,Southold,36103.0
36.0,NY,Speonk,36103.0
36.0,NY,Upton,36103.0
36.0,NY,Wainscott,36103.0
36.0,NY,Water Mill,36103.0
36.0,NY,Westhampton,36103.0
36.0,NY,Westhampton Beach,36103.0
36.0,NY,Yaphank,36103.0
36.0,NY,Alcove,36001.0
36.0,NY,Alplaus,36093.0
36.0,NY,Altamont,36001.0
36.0,NY,Amsterdam,36057.0
36.0,NY,Athens,36039.0
36.0,NY,Auriesville,36057.0
36.0,NY,Austerlitz,36021.0
36.0,NY,Averill Park,36083.0
36.0,NY,Ballston Lake,36091.0
36.0,NY,Ballston Spa,36091.0
36.0,NY,Berlin,36083.0
36.0,NY,Berne,36001.0
36.0,NY,Brainard,36083.0
36.0,NY,Broadalbin,36035.0
36.0,NY,Burnt Hills,36091.0
36.0,NY,Buskirk,36083.0
36.0,NY,Canaan,36021.0
36.0,NY,Carlisle,36095.0
36.0,NY,Caroga Lake,36035.0
36.0,NY,Castleton On Hudson,36083.0
36.0,NY,Central Bridge,36095.0
36.0,NY,Charlotteville,36095.0
36.0,NY,Chatham,36021.0
36.0,NY,Cherry Plain,36083.0
36.0,NY,Clarksville,36001.0
36.0,NY,Climax,36039.0
36.0,NY,Cobleskill,36095.0
36.0,NY,Coeymans,36001.0
36.0,NY,Coeymans Hollow,36001.0
36.0,NY,Cohoes,36001.0
36.0,NY,Columbiaville,36021.0
36.0,NY,Coxsackie,36039.0
36.0,NY,Cropseyville,36083.0
36.0,NY,Delanson,36093.0
36.0,NY,Delmar,36001.0
36.0,NY,Dormansville,36001.0
36.0,NY,Duanesburg,36093.0
36.0,NY,Eagle Bridge,36115.0
36.0,NY,Earlton,36039.0
36.0,NY,East Berne,36001.0
36.0,NY,East Chatham,36021.0
36.0,NY,East Greenbush,36083.0
36.0,NY,East Nassau,36083.0
36.0,NY,East Schodack,36083.0
36.0,NY,East Worcester,36077.0
36.0,NY,Clifton Park,36091.0
36.0,NY,Esperance,36057.0
36.0,NY,Feura Bush,36001.0
36.0,NY,Fonda,36057.0
36.0,NY,Fort Hunter,36057.0
36.0,NY,Fort Johnson,36057.0
36.0,NY,Fultonham,36095.0
36.0,NY,Fultonville,36057.0
36.0,NY,Gallupville,36095.0
36.0,NY,Galway,36091.0
36.0,NY,Ghent,36021.0
36.0,NY,Gilboa,36095.0
36.0,NY,Glenmont,36001.0
36.0,NY,Gloversville,36035.0
36.0,NY,Grafton,36083.0
36.0,NY,Greenville,36039.0
36.0,NY,Guilderland,36001.0
36.0,NY,Guilderland Center,36001.0
36.0,NY,Hagaman,36057.0
36.0,NY,Hannacroix,36039.0
36.0,NY,Hoosick,36083.0
36.0,NY,Hoosick Falls,36083.0
36.0,NY,Howes Cave,36095.0
36.0,NY,Jefferson,36095.0
36.0,NY,Johnsonville,36083.0
36.0,NY,Johnstown,36035.0
36.0,NY,Kinderhook,36021.0
36.0,NY,Knox,36001.0
36.0,NY,Lake Pleasant,36041.0
36.0,NY,Latham,36001.0
36.0,NY,Malden Bridge,36021.0
36.0,NY,Maryland,36077.0
36.0,NY,Mayfield,36035.0
36.0,NY,Mechanicville,36091.0
36.0,NY,Medusa,36001.0
36.0,NY,Melrose,36083.0
36.0,NY,Middleburgh,36095.0
36.0,NY,Nassau,36083.0
36.0,NY,New Baltimore,36039.0
36.0,NY,New Lebanon,36021.0
36.0,NY,Newtonville,36001.0
36.0,NY,Niverville,36021.0
36.0,NY,North Blenheim,36095.0
36.0,NY,North Chatham,36021.0
36.0,NY,North Hoosick,36083.0
36.0,NY,Northville,36035.0
36.0,NY,Old Chatham,36021.0
36.0,NY,Pattersonville,36093.0
36.0,NY,Petersburg,36083.0
36.0,NY,Piseco,36041.0
36.0,NY,Poestenkill,36083.0
36.0,NY,Quaker Street,36093.0
36.0,NY,Ravena,36001.0
36.0,NY,Rensselaer,36083.0
36.0,NY,Rensselaerville,36001.0
36.0,NY,Rexford,36091.0
36.0,NY,Richmondville,36095.0
36.0,NY,Rotterdam Junction,36093.0
36.0,NY,Round Lake,36091.0
36.0,NY,Sand Lake,36083.0
36.0,NY,Schaghticoke,36083.0
36.0,NY,Schenevus,36077.0
36.0,NY,Schodack Landing,36083.0
36.0,NY,Schoharie,36095.0
36.0,NY,Selkirk,36001.0
36.0,NY,Slingerlands,36001.0
36.0,NY,Sloansville,36095.0
36.0,NY,South Bethlehem,36001.0
36.0,NY,Speculator,36041.0
36.0,NY,Spencertown,36021.0
36.0,NY,Sprakers,36057.0
36.0,NY,Stamford,36025.0
36.0,NY,Stephentown,36083.0
36.0,NY,Stillwater,36091.0
36.0,NY,Stottville,36021.0
36.0,NY,Stuyvesant,36021.0
36.0,NY,Stuyvesant Falls,36021.0
36.0,NY,Summit,36095.0
36.0,NY,Surprise,36039.0
36.0,NY,Tribes Hill,36057.0
36.0,NY,Troy,36083.0
36.0,NY,Troy,36001.0
36.0,NY,Valatie,36021.0
36.0,NY,Valley Falls,36083.0
36.0,NY,Voorheesville,36001.0
36.0,NY,Warnerville,36095.0
36.0,NY,Waterford,36091.0
36.0,NY,Watervliet,36001.0
36.0,NY,Wells,36041.0
36.0,NY,West Coxsackie,36039.0
36.0,NY,Westerlo,36001.0
36.0,NY,West Fulton,36095.0
36.0,NY,West Lebanon,36021.0
36.0,NY,West Sand Lake,36083.0
36.0,NY,Worcester,36077.0
36.0,NY,Wynantskill,36083.0
36.0,NY,Albany,36001.0
36.0,NY,Schenectady,36093.0
36.0,NY,Kingston,36111.0
36.0,NY,Accord,36111.0
36.0,NY,Acra,36039.0
36.0,NY,Arkville,36025.0
36.0,NY,Ashland,36039.0
36.0,NY,Bearsville,36111.0
36.0,NY,Big Indian,36111.0
36.0,NY,Bloomington,36111.0
36.0,NY,Boiceville,36111.0
36.0,NY,Cairo,36039.0
36.0,NY,Catskill,36039.0
36.0,NY,Chichester,36111.0
36.0,NY,Connelly,36111.0
36.0,NY,Cornwallville,36039.0
36.0,NY,Cottekill,36111.0
36.0,NY,Cragsmoor,36111.0
36.0,NY,Denver,36025.0
36.0,NY,Durham,36039.0
36.0,NY,East Durham,36039.0
36.0,NY,East Jewett,36039.0
36.0,NY,Elka Park,36039.0
36.0,NY,Ellenville,36111.0
36.0,NY,Esopus,36111.0
36.0,NY,Fleischmanns,36025.0
36.0,NY,Freehold,36039.0
36.0,NY,Glasco,36111.0
36.0,NY,Glenford,36111.0
36.0,NY,Grand Gorge,36025.0
36.0,NY,Greenfield Park,36111.0
36.0,NY,Haines Falls,36039.0
36.0,NY,Halcottsville,36025.0
36.0,NY,Hensonville,36039.0
36.0,NY,High Falls,36111.0
36.0,NY,Highmount,36111.0
36.0,NY,Hunter,36039.0
36.0,NY,Hurley,36111.0
36.0,NY,Jewett,36039.0
36.0,NY,Kerhonkson,36111.0
36.0,NY,Lake Hill,36111.0
36.0,NY,Lake Katrine,36111.0
36.0,NY,Lanesville,36039.0
36.0,NY,Leeds,36039.0
36.0,NY,Lexington,36039.0
36.0,NY,Malden On Hudson,36111.0
36.0,NY,Maplecrest,36039.0
36.0,NY,Margaretville,36025.0
36.0,NY,Mount Marion,36111.0
36.0,NY,Mount Tremper,36111.0
36.0,NY,Napanoch,36111.0
36.0,NY,New Kingston,36025.0
36.0,NY,Oak Hill,36039.0
36.0,NY,Olivebridge,36111.0
36.0,NY,Palenville,36039.0
36.0,NY,Phoenicia,36111.0
36.0,NY,Pine Hill,36111.0
36.0,NY,Port Ewen,36111.0
36.0,NY,Prattsville,36039.0
36.0,NY,Preston Hollow,36001.0
36.0,NY,Purling,36039.0
36.0,NY,Rifton,36111.0
36.0,NY,Rosendale,36111.0
36.0,NY,Round Top,36039.0
36.0,NY,Roxbury,36025.0
36.0,NY,Ruby,36111.0
36.0,NY,Saugerties,36111.0
36.0,NY,Shandaken,36111.0
36.0,NY,Shokan,36111.0
36.0,NY,South Cairo,36039.0
36.0,NY,Spring Glen,36111.0
36.0,NY,Stone Ridge,36111.0
36.0,NY,Tannersville,36039.0
36.0,NY,Tillson,36111.0
36.0,NY,Ulster Park,36111.0
36.0,NY,Wawarsing,36111.0
36.0,NY,West Camp,36111.0
36.0,NY,West Hurley,36111.0
36.0,NY,West Kill,36039.0
36.0,NY,West Park,36111.0
36.0,NY,West Shokan,36111.0
36.0,NY,Willow,36111.0
36.0,NY,Windham,36039.0
36.0,NY,Woodstock,36111.0
36.0,NY,Amenia,36027.0
36.0,NY,Ancram,36021.0
36.0,NY,Ancramdale,36021.0
36.0,NY,Annandale On Hudson,36027.0
36.0,NY,Bangall,36027.0
36.0,NY,Barrytown,36027.0
36.0,NY,Beacon,36027.0
36.0,NY,Billings,36027.0
36.0,NY,Castle Point,36027.0
36.0,NY,Chelsea,36027.0
36.0,NY,Claverack,36021.0
36.0,NY,Clinton Corners,36027.0
36.0,NY,Clintondale,36111.0
36.0,NY,Copake,36021.0
36.0,NY,Copake Falls,36021.0
36.0,NY,Cornwall,36071.0
36.0,NY,Cornwall On Hudson,36071.0
36.0,NY,Craryville,36021.0
36.0,NY,Dover Plains,36027.0
36.0,NY,Elizaville,36021.0
36.0,NY,Fishkill,36027.0
36.0,NY,Gardiner,36111.0
36.0,NY,Germantown,36021.0
36.0,NY,Glenham,36027.0
36.0,NY,Highland,36111.0
36.0,NY,Hillsdale,36021.0
36.0,NY,Hollowville,36021.0
36.0,NY,Holmes,36027.0
36.0,NY,Hopewell Junction,36027.0
36.0,NY,Hudson,36021.0
36.0,NY,Hughsonville,36027.0
36.0,NY,Hyde Park,36027.0
36.0,NY,Lagrangeville,36027.0
36.0,NY,Livingston,36021.0
36.0,NY,Marlboro,36111.0
36.0,NY,Maybrook,36071.0
36.0,NY,Mellenville,36021.0
36.0,NY,Millbrook,36027.0
36.0,NY,Millerton,36027.0
36.0,NY,Milton,36111.0
36.0,NY,Modena,36111.0
36.0,NY,Montgomery,36071.0
36.0,NY,Newburgh,36071.0
36.0,NY,New Windsor,36071.0
36.0,NY,Mid Hudson,36071.0
36.0,NY,New Paltz,36111.0
36.0,NY,Patterson,36079.0
36.0,NY,Pawling,36027.0
36.0,NY,Philmont,36021.0
36.0,NY,Pine Bush,36071.0
36.0,NY,Pine Plains,36027.0
36.0,NY,Plattekill,36111.0
36.0,NY,Pleasant Valley,36027.0
36.0,NY,Poughquag,36027.0
36.0,NY,Red Hook,36027.0
36.0,NY,Rhinebeck,36027.0
36.0,NY,Rhinecliff,36027.0
36.0,NY,Rock Tavern,36071.0
36.0,NY,Salisbury Mills,36071.0
36.0,NY,Salt Point,36027.0
36.0,NY,Staatsburg,36027.0
36.0,NY,Stanfordville,36027.0
36.0,NY,Stormville,36027.0
36.0,NY,Tivoli,36027.0
36.0,NY,Vails Gate,36071.0
36.0,NY,Verbank,36027.0
36.0,NY,Walden,36071.0
36.0,NY,Walker Valley,36111.0
36.0,NY,Wallkill,36111.0
36.0,NY,Wappingers Falls,36027.0
36.0,NY,Wassaic,36027.0
36.0,NY,West Copake,36021.0
36.0,NY,Wingdale,36027.0
36.0,NY,Poughkeepsie,36027.0
36.0,NY,Monticello,36105.0
36.0,NY,Barryville,36105.0
36.0,NY,Bethel,36105.0
36.0,NY,Bloomingburg,36105.0
36.0,NY,Burlingham,36105.0
36.0,NY,Callicoon,36105.0
36.0,NY,Callicoon Center,36105.0
36.0,NY,Claryville,36105.0
36.0,NY,Cochecton,36105.0
36.0,NY,Cochecton Center,36105.0
36.0,NY,Cuddebackville,36071.0
36.0,NY,Eldred,36105.0
36.0,NY,Fallsburg,36105.0
36.0,NY,Ferndale,36105.0
36.0,NY,Fremont Center,36105.0
36.0,NY,Glen Spey,36105.0
36.0,NY,Glen Wild,36105.0
36.0,NY,Godeffroy,36071.0
36.0,NY,Grahamsville,36105.0
36.0,NY,Hankins,36105.0
36.0,NY,Harris,36105.0
36.0,NY,Highland Lake,36105.0
36.0,NY,Hortonville,36105.0
36.0,NY,Huguenot,36071.0
36.0,NY,Hurleyville,36105.0
36.0,NY,Jeffersonville,36105.0
36.0,NY,Kauneonga Lake,36105.0
36.0,NY,Kenoza Lake,36105.0
36.0,NY,Kiamesha Lake,36105.0
36.0,NY,Lake Huntington,36105.0
36.0,NY,Liberty,36105.0
36.0,NY,Livingston Manor,36105.0
36.0,NY,Loch Sheldrake,36105.0
36.0,NY,Long Eddy,36105.0
36.0,NY,Mongaup Valley,36105.0
36.0,NY,Mountain Dale,36105.0
36.0,NY,Narrowsburg,36105.0
36.0,NY,Neversink,36105.0
36.0,NY,North Branch,36105.0
36.0,NY,Obernburg,36105.0
36.0,NY,Parksville,36105.0
36.0,NY,Phillipsport,36105.0
36.0,NY,Pond Eddy,36105.0
36.0,NY,Port Jervis,36071.0
36.0,NY,Rock Hill,36105.0
36.0,NY,Roscoe,36105.0
36.0,NY,Forestburgh,36105.0
36.0,NY,Smallwood,36105.0
36.0,NY,South Fallsburg,36105.0
36.0,NY,Sparrow Bush,36071.0
36.0,NY,Summitville,36105.0
36.0,NY,Sundown,36111.0
36.0,NY,Swan Lake,36105.0
36.0,NY,Thompsonville,36105.0
36.0,NY,Westbrookville,36105.0
36.0,NY,White Lake,36105.0
36.0,NY,White Sulphur Springs,36105.0
36.0,NY,Woodbourne,36105.0
36.0,NY,Woodridge,36105.0
36.0,NY,Wurtsboro,36105.0
36.0,NY,Youngsville,36105.0
36.0,NY,Yulan,36105.0
36.0,NY,Glens Falls,36113.0
36.0,NY,South Glens Falls,36091.0
36.0,NY,Queensbury,36113.0
36.0,NY,Adirondack,36113.0
36.0,NY,Argyle,36115.0
36.0,NY,Athol,36113.0
36.0,NY,Bakers Mills,36113.0
36.0,NY,Blue Mountain Lake,36041.0
36.0,NY,Bolton Landing,36113.0
36.0,NY,Brant Lake,36113.0
36.0,NY,Cambridge,36115.0
36.0,NY,Chestertown,36113.0
36.0,NY,Clemons,36115.0
36.0,NY,Cleverdale,36113.0
36.0,NY,Comstock,36115.0
36.0,NY,Corinth,36091.0
36.0,NY,Cossayuna,36115.0
36.0,NY,Diamond Point,36113.0
36.0,NY,Fort Ann,36115.0
36.0,NY,Fort Edward,36115.0
36.0,NY,Gansevoort,36091.0
36.0,NY,Granville,36115.0
36.0,NY,Greenfield Center,36091.0
36.0,NY,Greenwich,36115.0
36.0,NY,Hadley,36091.0
36.0,NY,Hague,36113.0
36.0,NY,Hampton,36115.0
36.0,NY,Hartford,36115.0
36.0,NY,Hudson Falls,36115.0
36.0,NY,Huletts Landing,36115.0
36.0,NY,Indian Lake,36041.0
36.0,NY,Johnsburg,36113.0
36.0,NY,Kattskill Bay,36113.0
36.0,NY,Lake George,36113.0
36.0,NY,Lake Luzerne,36113.0
36.0,NY,Long Lake,36041.0
36.0,NY,Middle Falls,36115.0
36.0,NY,Middle Granville,36115.0
36.0,NY,Middle Grove,36091.0
